title,author,year,genre
Becoming,Frank Herbert,1984,Science Fiction
Where the Crawdads Sing,Taylor Jenkins Reid,1986,Thriller
Brave New World,Aldous Huxley,1996,Memoir
Little Fires Everywhere,Rebecca Yarros,2002,Romance
It Ends With Us,Janet Skeslien Charles,1942,Fiction
Dune,Michelle Obama,1979,Drama
A Man Called Ove,Frank Herbert,1934,Memoir
Reminders of Him,Taylor Jenkins Reid,1917,Romance
The Book Thief,Yuval Noah Harari,1939,Biography
The Paper Palace,Taylor Jenkins Reid,1995,Memoir
The Last Thing He Told Me,Andy Weir,2000,Romance
The Alchemist,Ali Hazelwood,1942,Fantasy
Lessons in Chemistry,Paulo Coelho,1916,Science Fiction
The Night Circus,Andy Weir,1986,Memoir
The Four Winds,Laura Dave,1965,Memoir
Lessons in Chemistry,Tara Westover,1983,Mystery
Becoming,Fredrik Backman,1998,Mystery
The Night Circus,Laura Dave,1981,Memoir
Normal People,Laura Dave,2023,Mystery
Fourth Wing,Yuval Noah Harari,1979,Science Fiction
Sapiens,Brit Bennett,1930,Memoir
Educated,Celeste Ng,1966,Drama
The House in the Cerulean Sea,James Clear,2013,Fiction
Cloud Cuckoo Land,Tara Westover,1932,Thriller
The Paris Library,Kristin Hannah,2004,Memoir
Educated,Sally Rooney,2022,Fantasy
The Last Thing He Told Me,Janet Skeslien Charles,1959,Self-Help
A Man Called Ove,Taylor Jenkins Reid,1980,Drama
The Catcher in the Rye,Erin Morgenstern,1922,Fantasy
Where the Crawdads Sing,Michelle Obama,1946,Fantasy
Mexican Gothic,Amor Towles,1914,Fantasy
The Midnight Library,Rebecca Yarros,2020,Fiction
The Lincoln Highway,Tara Westover,1919,Drama
Iron Flame,Paulo Coelho,1947,Drama
Reminders of Him,Cormac McCarthy,2018,Thriller
Fourth Wing,Erin Morgenstern,1934,Fantasy
The Four Winds,Paulo Coelho,1971,Memoir
Dune,Tara Westover,1993,Thriller
Circe,Erin Morgenstern,2012,Fantasy
The Silent Patient,Tara Westover,1930,Adventure
