Car Dealership,Car Brand,Build,Year of Production,Clean/Salvage Title,Mileage,Ask Price,Location
AutoMax Motors,Nissan,Rogue,2020,Clean,25000,28500,New York
AutoMax Motors,Nissan,Rogue,2020,Clean,45000,26500,New York
AutoMax Motors,Nissan,Rogue,2020,Clean,65000,24500,New York
AutoMax Motors,Honda,Civic,2019,Clean,32000,22500,New York
AutoMax Motors,Honda,Civic,2019,Clean,52000,20500,New York
AutoMax Motors,Honda,Civic,2019,Clean,72000,18500,New York
AutoMax Motors,KIA,Forte,2019,Clean,36000,19500,New York
AutoMax Motors,KIA,Forte,2019,Clean,56000,17500,New York
AutoMax Motors,KIA,Forte,2019,Salvage,40000,12500,New York
AutoMax Motors,BMW,3 Series,2019,Clean,35000,38500,New York
AutoMax Motors,BMW,3 Series,2019,Clean,55000,35500,New York
AutoMax Motors,BMW,3 Series,2019,Salvage,40000,25500,New York
AutoMax Motors,Hyundai,Elantra,2019,Clean,38000,18500,New York
AutoMax Motors,Hyundai,Elantra,2019,Salvage,42000,11500,New York
Prime Auto Sales,Nissan,Altima,2019,Clean,35000,24500,New York
Prime Auto Sales,Nissan,Altima,2019,Clean,55000,22500,New York
Prime Auto Sales,Nissan,Altima,2019,Salvage,40000,16500,New York
Prime Auto Sales,Honda,Accord,2020,Clean,28000,29500,New York
Prime Auto Sales,Honda,Accord,2020,Clean,48000,27500,New York
Prime Auto Sales,Honda,Accord,2020,Salvage,32000,19500,New York
Prime Auto Sales,Mercedes-Benz,C-Class,2019,Clean,38000,42500,New York
Prime Auto Sales,Mercedes-Benz,C-Class,2019,Clean,58000,39500,New York
Prime Auto Sales,Mercedes-Benz,C-Class,2019,Salvage,42000,28500,New York
Prime Auto Sales,KIA,Optima,2020,Clean,24000,25500,New York
Prime Auto Sales,KIA,Optima,2020,Clean,44000,23500,New York
Prime Auto Sales,KIA,Optima,2020,Salvage,28000,16500,New York
Prime Auto Sales,Hyundai,Sonata,2020,Clean,26000,24500,New York
Prime Auto Sales,Hyundai,Sonata,2020,Salvage,30000,15500,New York
Luxury Motors,Mercedes-Benz,E-Class,2020,Clean,25000,58500,New York
Luxury Motors,Mercedes-Benz,E-Class,2020,Clean,45000,55500,New York
Luxury Motors,Mercedes-Benz,E-Class,2020,Salvage,30000,38500,New York
Luxury Motors,BMW,5 Series,2020,Clean,22000,54500,New York
Luxury Motors,BMW,5 Series,2020,Clean,42000,51500,New York
Luxury Motors,BMW,5 Series,2020,Salvage,28000,35500,New York
Luxury Motors,Mercedes-Benz,GLC,2019,Clean,32000,45500,New York
Luxury Motors,Mercedes-Benz,GLC,2020,Clean,22000,49800,New York
Luxury Motors,Mercedes-Benz,GLC,2020,Salvage,28000,32800,New York
Luxury Motors,Nissan,Rogue,2021,Clean,15000,31200,New York
Luxury Motors,Nissan,Rogue,2021,Clean,35000,29200,New York
Luxury Motors,Nissan,Rogue,2021,Salvage,20000,21200,New York
Luxury Motors,Honda,CR-V,2019,Clean,35000,26500,New York
Luxury Motors,Honda,CR-V,2020,Clean,25000,28800,New York
Luxury Motors,Honda,CR-V,2020,Salvage,30000,18800,New York
Coastal Auto,KIA,Sorento,2019,Clean,38000,28500,San Diego
Coastal Auto,KIA,Sorento,2020,Clean,28000,31800,San Diego
Coastal Auto,KIA,Sorento,2020,Salvage,32000,20800,San Diego
Coastal Auto,Nissan,Kicks,2020,Clean,22000,21500,San Diego
Coastal Auto,Nissan,Kicks,2021,Clean,12000,23200,San Diego
Coastal Auto,Nissan,Kicks,2021,Salvage,15000,15200,San Diego
Coastal Auto,Honda,Civic,2020,Clean,25000,24800,San Diego
Coastal Auto,Honda,Civic,2021,Clean,15000,27200,San Diego
Coastal Auto,Honda,Civic,2022,Salvage,10000,18500,San Diego
Coastal Auto,BMW,X3,2019,Clean,32000,41500,San Diego
Coastal Auto,BMW,X3,2020,Clean,22000,45800,San Diego
Coastal Auto,BMW,X3,2020,Salvage,28000,29800,San Diego
Coastal Auto,Hyundai,Tucson,2019,Clean,34000,25500,San Diego
Coastal Auto,Hyundai,Tucson,2020,Clean,24000,28800,San Diego
Coastal Auto,Hyundai,Tucson,2020,Salvage,28000,18800,San Diego
Elite BMW,BMW,3 Series,2020,Clean,25000,42800,San Diego
Elite BMW,BMW,3 Series,2021,Clean,15000,47200,San Diego
Elite BMW,BMW,5 Series,2021,Clean,12000,59800,San Diego
Elite BMW,BMW,5 Series,2022,Clean,5000,64200,San Diego
Elite BMW,Mercedes-Benz,C-Class,2020,Clean,28000,46800,San Diego
Elite BMW,Mercedes-Benz,C-Class,2021,Clean,18000,51200,San Diego
Elite BMW,Mercedes-Benz,E-Class,2021,Clean,15000,63800,San Diego
Elite BMW,Mercedes-Benz,E-Class,2022,Clean,8000,68200,San Diego
Elite BMW,Nissan,Altima,2020,Clean,28000,26800,San Diego
Elite BMW,Nissan,Altima,2021,Clean,18000,29200,San Diego
Elite BMW,Honda,Accord,2021,Clean,18000,32800,San Diego
Elite BMW,Honda,Accord,2022,Clean,8000,35200,San Diego
Elite BMW,KIA,Forte,2020,Clean,26000,21800,San Diego
Elite BMW,KIA,Forte,2021,Clean,16000,24200,San Diego
Metro Hyundai,Hyundai,Elantra,2020,Clean,28000,20800,San Diego
Metro Hyundai,Hyundai,Elantra,2021,Clean,18000,23200,San Diego
Metro Hyundai,Hyundai,Elantra,2022,Salvage,14000,14800,San Diego
Metro Hyundai,Hyundai,Sonata,2021,Clean,16000,27800,San Diego
Metro Hyundai,Hyundai,Sonata,2022,Clean,8000,30200,San Diego
Metro Hyundai,Hyundai,Tucson,2021,Clean,14000,32200,San Diego
Metro Hyundai,Nissan,Rogue,2022,Clean,8000,33800,San Diego
Metro Hyundai,Honda,CR-V,2021,Clean,15000,31500,San Diego
Metro Hyundai,Honda,CR-V,2022,Salvage,12000,21500,San Diego
Metro Hyundai,KIA,Optima,2021,Clean,14000,28800,San Diego
Metro Hyundai,KIA,Optima,2022,Clean,6000,31200,San Diego
Metro Hyundai,BMW,X3,2021,Clean,12000,50200,San Diego
