ticker,date,price
BTC,2024-03-25,40000.0
BTC,2024-03-24,39500.0
BTC,2024-03-23,39200.0
BTC,2024-03-22,38850.0
BTC,2024-03-21,38500.0
ETH,2024-03-25,2200.0
ETH,2024-03-24,2150.0
ETH,2024-03-23,2125.0
ETH,2024-03-22,2100.0
ETH,2024-03-21,2050.0
SOL,2024-03-25,110.5
SOL,2024-03-24,108.75
SOL,2024-03-23,107.25
SOL,2024-03-22,105.6
SOL,2024-03-21,102.1
ADA,2024-03-25,0.58
ADA,2024-03-24,0.57
ADA,2024-03-23,0.56
ADA,2024-03-22,0.54
ADA,2024-03-21,0.53
XRP,2024-03-25,0.72
XRP,2024-03-24,0.7
XRP,2024-03-23,0.69
XRP,2024-03-22,0.68
XRP,2024-03-21,0.66
LTC,2024-03-25,95.2
LTC,2024-03-24,93.75
LTC,2024-03-23,91.5
LTC,2024-03-22,89.8
LTC,2024-03-21,87.25
AVAX,2024-03-25,60.1
AVAX,2024-03-24,58.75
AVAX,2024-03-23,57.2
AVAX,2024-03-22,55.9
AVAX,2024-03-21,54.4
DOGE,2024-03-25,0.085
DOGE,2024-03-24,0.083
DOGE,2024-03-23,0.082
DOGE,2024-03-22,0.08
DOGE,2024-03-21,0.078
