from,to,rate
USD,EUR,0.92
EUR,USD,1.09
USD,GBP,0.78
GBP,USD,1.28
USD,JPY,150.5
JPY,USD,0.0066
USD,INR,83.1
INR,USD,0.012
EUR,JPY,164.3
JPY,EUR,0.0061
EUR,GBP,0.85
GBP,EUR,1.18
EUR,INR,90.2
INR,EUR,0.011
GBP,INR,105.4
INR,GBP,0.0095
USD,CAD,1.34
CAD,USD,0.75
EUR,CAD,1.46
CAD,EUR,0.685
USD,AUD,1.52
AUD,USD,0.66
EUR,AUD,1.65
AUD,EUR,0.61
JPY,INR,0.55
INR,JPY,1.82
USD,CHF,0.89
CHF,USD,1.12
EUR,CHF,0.97
CHF,EUR,1.03
GBP,CAD,1.72
CAD,GBP,0.58
AUD,INR,55.6
INR,AUD,0.018
CHF,INR,94.3
INR,CHF,0.0106
GBP,JPY,193.2
JPY,GBP,0.0051
CAD,INR,61.3
INR,CAD,0.016
