date,flight_number,status,departure_time,departure_location,arrival_time,destination
2024-03-24,BA921,Cancelled,09:00,Seattle (SEA),15:15,Dallas (DFW)
2024-03-21,UA420,On Time,19:00,Boston (BOS),01:15,Chicago (ORD)
2024-03-27,BA137,On Time,08:15,Chicago (ORD),13:00,New York (JFK)
2024-03-27,UA836,Delayed,09:45,New York (JFK),12:15,Dallas (DFW)
2024-03-29,SW675,Cancelled,18:45,Phoenix (PHX),01:30,Miami (MIA)
2024-03-27,DL511,Delayed,15:30,Miami (MIA),22:15,Houston (IAH)
2024-03-26,SW256,Cancelled,14:15,Los Angeles (LAX),18:30,Phoenix (PHX)
2024-03-22,AA336,On Time,20:00,Seattle (SEA),01:45,Chicago (ORD)
2024-03-27,AA107,On Time,11:30,New York (JFK),17:30,Atlanta (ATL)
2024-03-25,SW933,Delayed,17:30,Atlanta (ATL),20:00,Seattle (SEA)
2024-03-26,SW592,Delayed,17:45,Phoenix (PHX),22:00,New York (JFK)
2024-03-23,DL638,On Time,08:15,Seattle (SEA),13:15,San Francisco (SFO)
2024-03-29,UA513,Cancelled,07:30,Houston (IAH),11:45,Chicago (ORD)
2024-03-21,BA354,Delayed,06:15,Chicago (ORD),09:15,Los Angeles (LAX)
2024-03-28,DL700,On Time,11:00,Houston (IAH),14:30,Chicago (ORD)
2024-03-29,SW956,Delayed,13:00,Denver (DEN),15:00,Phoenix (PHX)
2024-03-25,BA289,On Time,11:45,Miami (MIA),16:15,New York (JFK)
2024-03-20,DL912,Delayed,10:45,Phoenix (PHX),17:15,Los Angeles (LAX)
2024-03-20,AA699,Delayed,09:45,Seattle (SEA),16:30,Phoenix (PHX)
2024-03-28,SW307,Delayed,10:00,Atlanta (ATL),15:00,Seattle (SEA)
2024-03-26,BA884,Cancelled,13:00,Boston (BOS),15:15,Atlanta (ATL)
2024-03-21,SW152,On Time,13:30,Houston (IAH),19:00,Atlanta (ATL)
2024-03-28,DL442,Cancelled,05:15,Los Angeles (LAX),07:45,Miami (MIA)
2024-03-21,BA808,Cancelled,17:00,Houston (IAH),23:30,New York (JFK)
2024-03-28,SW620,On Time,06:00,Seattle (SEA),12:45,Dallas (DFW)
2024-03-28,UA553,On Time,15:00,Houston (IAH),21:00,Dallas (DFW)
2024-03-25,SW228,On Time,18:00,Boston (BOS),20:45,Phoenix (PHX)
2024-03-29,SW552,Delayed,17:30,Chicago (ORD),19:45,Denver (DEN)
2024-03-30,UA627,Cancelled,08:15,Atlanta (ATL),11:30,Miami (MIA)
2024-03-27,UA153,Delayed,15:00,New York (JFK),17:30,Phoenix (PHX)
2024-03-23,DL182,Delayed,08:45,New York (JFK),12:15,Houston (IAH)
2024-03-28,BA932,Cancelled,09:15,Dallas (DFW),14:30,Miami (MIA)
2024-03-22,UA692,On Time,18:15,Los Angeles (LAX),22:15,Houston (IAH)
2024-03-30,DL266,On Time,13:45,Denver (DEN),18:30,Boston (BOS)
2024-03-22,DL547,Delayed,09:45,Boston (BOS),12:00,Los Angeles (LAX)
2024-03-27,SW250,Delayed,14:30,Seattle (SEA),21:00,Miami (MIA)
2024-03-21,AA371,Cancelled,10:45,Atlanta (ATL),16:45,Boston (BOS)
2024-03-28,UA522,Delayed,17:15,San Francisco (SFO),20:45,Chicago (ORD)
2024-03-22,DL717,Cancelled,20:45,New York (JFK),00:30,Houston (IAH)
2024-03-27,AA295,Delayed,12:30,Atlanta (ATL),14:30,Miami (MIA)
2024-03-20,SW556,Delayed,15:15,Chicago (ORD),18:15,Dallas (DFW)
2024-03-28,DL566,On Time,18:45,Chicago (ORD),00:00,Miami (MIA)
2024-03-23,UA572,On Time,17:30,Seattle (SEA),21:15,Miami (MIA)
2024-03-21,UA427,Cancelled,10:15,Boston (BOS),16:00,Chicago (ORD)
2024-03-26,BA238,Cancelled,05:45,Boston (BOS),10:30,Houston (IAH)
2024-03-25,BA738,On Time,09:00,Houston (IAH),12:00,New York (JFK)
2024-03-22,BA305,Delayed,18:15,Phoenix (PHX),00:30,Miami (MIA)
2024-03-22,DL651,Delayed,07:30,San Francisco (SFO),14:00,New York (JFK)
2024-03-23,UA856,On Time,07:00,San Francisco (SFO),10:15,Chicago (ORD)
2024-03-28,AA438,Delayed,10:30,Seattle (SEA),15:15,Los Angeles (LAX)
