flight_number,date,departure_time_local,arrival_time_local,departure_city,destination_city,stops,via,cabin_class,seating,price,seats_remaining
UA837,2025-11-15,08:00,12:10+09:00,San Francisco,Tokyo,0,,ECONOMY,AISLE,873.4,5
JL001,2025-11-15,08:00,15:00+09:00,San Francisco,Tokyo,0,,BUSINESS,WINDOW,1299.0,2
AA100,2025-11-15,08:00,14:30+09:00,San Francisco,Tokyo,1,Honolulu,PREMIUM_ECONOMY,AISLE,789.99,9
NH105,2025-11-15,09:00,13:20+09:00,Los Angeles,Tokyo,0,,ECONOMY,WINDOW,845.0,7
DL700,2025-11-15,09:00,16:10+09:00,Los Angeles,Tokyo,1,Seattle,BUSINESS,AISLE,1189.0,3
AA220,2025-11-15,09:00,15:45+09:00,Los Angeles,Tokyo,0,,PREMIUM_ECONOMY,MIDDLE,925.5,4
BA226,2025-11-16,18:00,06:45+00:00,Atlanta,London,0,,ECONOMY,AISLE,620.0,8
VS104,2025-11-16,18:00,07:15+00:00,Atlanta,London,1,New York,BUSINESS,WINDOW,1499.0,2
UA999,2025-11-16,18:00,07:50+00:00,Atlanta,London,0,,PREMIUM_ECONOMY,MIDDLE,842.3,6
AA101,2025-11-16,13:00,18:30+00:00,San Diego,London,0,,ECONOMY,AISLE,599.0,10
AA101,2025-11-16,13:00,18:30+00:00,San Diego,London,0,,BUSINESS,AISLE,1299.0,3
AA101,2025-11-16,13:00,18:30+00:00,San Diego,London,0,,PREMIUM_ECONOMY,AISLE,899.0,5
AA301,2025-11-16,13:00,18:30+00:00,San Diego,London,1,New York,PREMIUM_ECONOMY,AISLE,799.0,10
AA301,2025-11-16,13:00,18:30+00:00,San Diego,London,1,New York,BUSINESS,AISLE,1199.0,3
AA102,2025-11-18,13:00,18:30+00:00,London,San Diego,0,,ECONOMY,AISLE,599.0,10
AA102,2025-11-18,13:00,18:30+00:00,London,San Diego,0,,BUSINESS,AISLE,1299.0,1
AA102,2025-11-18,13:00,18:30+00:00,London,San Diego,0,,PREMIUM_ECONOMY,AISLE,899.0,2
AA302,2025-11-18,13:00,18:30+00:00,London,San Diego,1,New York,PREMIUM_ECONOMY,AISLE,799.0,10
AA302,2025-11-18,13:00,18:30+00:00,London,San Diego,1,New York,BUSINESS,AISLE,1199.0,3
