title,director,year,genre
Mad Max: Fury Road,Robert Zemeckis,1991,Romance
Fight Club,Robert Zemeckis,1970,Biography
Get Out,Quentin Tarantino,2016,Thriller
Memento,Robert Zemeckis,1975,Fantasy
Django Unchained,Bong Joon-ho,2001,Adventure
The Matrix,James Cameron,2017,Fantasy
Tenet,Christopher Nolan,1980,Sci-Fi
The Green Mile,David Fincher,1971,Sci-Fi
Goodfellas,Ridley Scott,2005,Fantasy
The Big Short,Bong Joon-ho,1990,Biography
The Revenant,Ridley Scott,1990,Biography
The Grand Budapest Hotel,James Cameron,2004,Sci-Fi
Shutter Island,Sam Mendes,1976,Romance
Birdman,Christopher Nolan,2001,Adventure
The Hateful Eight,Bong Joon-ho,2000,Drama
Whiplash,Christopher Nolan,2004,Drama
Moonlight,Martin Scorsese,1975,Drama
The Lord of the Rings,Bong Joon-ho,1992,Romance
Black Swan,Greta Gerwig,2005,Thriller
12 Years a Slave,James Cameron,1974,Mystery
Interstellar,James Cameron,2010,Adventure
Logan,Sam Mendes,2004,Adventure
The Irishman,Bong Joon-ho,1984,Romance
Gladiator,Quentin Tarantino,2004,Biography
The Theory of Everything,Greta Gerwig,1979,Sci-Fi
Blade Runner 2049,Alejandro G. Iñárritu,2000,Biography
The Prestige,Denis Villeneuve,2022,Crime
Cast Away,Alejandro G. Iñárritu,1980,Romance
The Truman Show,Martin Scorsese,2009,Mystery
Jojo Rabbit,Martin Scorsese,2022,Romance
The Shape of Water,Peter Jackson,1999,Romance
The Wolf of Wall Street,Christopher Nolan,1974,Thriller
The Silence of the Lambs,Alejandro G. Iñárritu,1978,Biography
Inglourious Basterds,David Fincher,2006,Adventure
No Country for Old Men,Greta Gerwig,1978,Fantasy
Titanic,Denis Villeneuve,1994,Sci-Fi
The Imitation Game,Robert Zemeckis,1992,Biography
La La Land,Peter Jackson,1989,Adventure
The Social Network,Christopher Nolan,1984,Drama
1917,Bong Joon-ho,2007,Sci-Fi
Spotlight,James Cameron,2015,Drama
Gravity,Quentin Tarantino,1982,Drama
Parasite,Quentin Tarantino,1987,Action
Joker,Peter Jackson,1989,Fantasy
Once Upon a Time in Hollywood,James Cameron,1995,Adventure
Arrival,Martin Scorsese,2020,Thriller
The Departed,Alejandro G. Iñárritu,2014,Fantasy
Forrest Gump,Christopher Nolan,1973,Romance
A Beautiful Mind,Sam Mendes,1980,Drama
Her,Robert Zemeckis,2011,Sci-Fi
