color,type,size,brand,sku
white,shirt,M,Nike,SKU001
blue,jeans,32,Levis,SKU002
black,running sneakers,10,Brooks,SKU003
brown,leather wallet,OneSize,Prada,SKU004
gray,hoodie,L,Supreme,SKU006
navy,athletic shorts,M,Adidas,SKU008
green,winter jacket,XL,Pantagonia,SKU009
black,canvas backpack,OneSize,Nike,SKU010

silver,watch,52mm,Seiko,SKU015
red,polo shirt,S,Ralph Lauren,SKU011
blue,baseball cap,OneSize,New Era,SKU013



white,dress shirt,L,Gucci,SKU007
black,dress shoes,9,Hilfiger,SKU012

black,canvas backpack,OneSize,Nike,SKU010

black,yoga pants,S,Alo,SKU014
