song_name,singer,year,lyrics
Bohemian Rhapsody,Queen,1975,Is this the real life? Is this just fantasy?
Imagine,John Lennon,1971,"Imagine there's no heaven, it's easy if you try."
Thriller,Michael Jackson,1982,It's close to midnight and something evil's lurking in the dark.
Yesterday,The Beatles,1965,"Yesterday, all my troubles seemed so far away."
Hallelujah,Leonard Cohen,1984,Now I've heard there was a secret chord that David played and it pleased the Lord.
Hallelujah,Jeff Buckley,1994,Now I've heard there was a secret chord that David played and it pleased the Lord.
Smells Like Teen Spirit,Nirvana,1991,"Here we are now, entertain us."
Like a Rolling Stone,Bob Dylan,1965,"How does it feel to be on your own, with no direction home?"
Hey Jude,The Beatles,1968,"Hey Jude, don't make it bad. Take a sad song and make it better."
Let It Be,The Beatles,1970,"When I find myself in times of trouble, Mother Mary comes to me."
Purple Rain,Prince,1984,I never meant to cause you any sorrow.
Lose Yourself,Eminem,2002,"You better lose yourself in the music, the moment."
Rolling in the Deep,Adele,2010,"We could have had it all, rolling in the deep."
Shake It Off,Taylor Swift,2014,"Cause the players gonna play, play, play, play, play."
Blinding Lights,The Weeknd,2019,"I said, ooh, I'm blinded by the lights."
Someone Like You,Adele,2011,"Nevermind, I'll find someone like you."
Bad Guy,Billie Eilish,2019,"So you're a tough guy, like it really rough guy."
Uptown Funk,Mark Ronson ft. Bruno Mars,2014,"Don't believe me, just watch!"
Shape of You,Ed Sheeran,2017,I'm in love with the shape of you.
Thinking Out Loud,Ed Sheeran,2014,"I'm thinking out loud, maybe we found love right where we are."
All of Me,John Legend,2013,'Cause all of me loves all of you.
Stay With Me,Sam Smith,2014,"Oh, won't you stay with me? 'Cause you're all I need."
Roar,Katy Perry,2013,"I got the eye of the tiger, a fighter, dancing through the fire."
Radioactive,Imagine Dragons,2012,"Welcome to the new age, to the new age."
Viva La Vida,Coldplay,2008,"I used to rule the world, seas would rise when I gave the word."
Clocks,Coldplay,2002,"Confusion never stops, closing walls and ticking clocks."
Chandelier,Sia,2014,I'm gonna swing from the chandelier.
Halo,Beyoncé,2008,"I can see your halo, halo, halo."
Single Ladies,Beyoncé,2008,"If you liked it, then you should have put a ring on it."
Can't Feel My Face,The Weeknd,2015,"I can't feel my face when I'm with you, but I love it."
Hello,Adele,2015,Hello from the other side.
Happy,Pharrell Williams,2013,Clap along if you feel like a room without a roof.
Bad Romance,Lady Gaga,2009,I want your love and I want your revenge.
Poker Face,Lady Gaga,2008,"Can't read my, can't read my, no he can't read my poker face."
Just the Way You Are,Bruno Mars,2010,"When I see your face, there's not a thing that I would change."
Grenade,Bruno Mars,2010,I'd catch a grenade for ya.
Counting Stars,OneRepublic,2013,"Lately I've been, I've been losing sleep, dreaming about the things that we could be."
Royals,Lorde,2013,"And we'll never be royals, it don't run in our blood."
Take Me to Church,Hozier,2013,"Take me to church, I'll worship like a dog at the shrine of your lies."
