ticker,date,price
AAPL,2024-03-25,150.25
AAPL,2024-03-24,148.75
AAPL,2024-03-22,146.1
AAPL,2024-03-21,147.3
AAPL,2024-03-20,149.2
MSFT,2024-03-25,310.75
MSFT,2024-03-24,308.25
MSFT,2024-03-22,305.4
MSFT,2024-03-21,307.1
MSFT,2024-03-20,309.9
GOOGL,2024-03-25,135.5
GOOGL,2024-03-24,133.75
GOOGL,2024-03-22,131.6
GOOGL,2024-03-21,132.9
GOOGL,2024-03-20,134.8
AMZN,2024-03-25,123.45
AMZN,2024-03-24,121.9
AMZN,2024-03-22,119.8
AMZN,2024-03-21,120.5
AMZN,2024-03-20,122.1
TSLA,2024-03-25,710.3
TSLA,2024-03-24,705.6
TSLA,2024-03-22,698.2
TSLA,2024-03-21,702.75
TSLA,2024-03-20,709.15
META,2024-03-25,280.6
META,2024-03-24,278.4
META,2024-03-22,275.75
META,2024-03-21,277.0
META,2024-03-20,279.85
NFLX,2024-03-25,435.9
NFLX,2024-03-24,432.75
NFLX,2024-03-22,429.6
NFLX,2024-03-21,431.1
NFLX,2024-03-20,434.2
NVDA,2024-03-25,840.5
NVDA,2024-03-24,832.1
NVDA,2024-03-22,820.0
NVDA,2024-03-21,828.75
NVDA,2024-03-20,835.3
INTC,2024-03-25,39.7
INTC,2024-03-24,39.1
INTC,2024-03-22,38.45
INTC,2024-03-21,38.9
INTC,2024-03-20,39.35
ORCL,2024-03-25,98.2
ORCL,2024-03-24,96.8
ORCL,2024-03-22,94.9
ORCL,2024-03-21,95.75
ORCL,2024-03-20,97.6
